symptom,specialization
I have dry eyes and discomfort,Ophthalmology
I have itchy skin and rashes for several days,Dermatology
I have sports injury in my knee,Orthopedics
My toddler has diaper rash,Pediatrics
My skin is peeling and irritated and it's getting worse,Dermatology
I have watery eyes constantly,Ophthalmology
My scalp is itchy and flaky,Dermatology
I notice dark spots in my vision,Ophthalmology
I have high blood sugar levels and it's getting worse,General Medicine
I experience light sensitivity and pain,Ophthalmology
I experience light sensitivity and pain for several days,Ophthalmology
I suffer from sciatica and leg pain,Orthopedics
I have pressure in my eyes for several days,Ophthalmology
I experience phobias and fears and it's getting worse,Psychiatry
I have numbness in my hands and feet,Neurology
I suffer from food intolerance issues,Gastroenterology
I have anemia and weakness,General Medicine
I have pressure in my eyes and it's getting worse,Ophthalmology
I have psoriasis patches for several days,Dermatology
I have elbow pain and stiffness for several days,Orthopedics
I have difficulty concentrating,Psychiatry
I suffer from severe insomnia,Psychiatry
I notice my scalp is itchy and flaky,Dermatology
I have panic attacks frequently and it's getting worse,Psychiatry
I have frequent severe headaches for several days,Neurology
I suffer from severe insomnia,Psychiatry
I experience acid reflux and heartburn,Gastroenterology
My toddler has skin rashes and itching,Pediatrics
I suffer from tonsillitis,ENT
I notice yellow discharge from my eyes,Ophthalmology
I have knee pain when walking and it's getting worse,Orthopedics
I have pressure in my eyes,Ophthalmology
I get breathless even at rest and it's getting worse,Cardiology
I suffer from diarrhea frequently and it's getting worse,Gastroenterology
I have chronic constipation,Gastroenterology
I have respiratory infection,General Medicine
I feel suicidal thoughts,Psychiatry
I have cataracts affecting my vision,Ophthalmology
I am experiencing red patches on my arms,Dermatology
I notice hand tremors and stiffness,Neurology
I am experiencing trouble with balance and coordination,Neurology
My baby has colic and gas problems,Pediatrics
I have numbness in my hands and feet and it's getting worse,Neurology
I notice my child has asthma and wheezing,Pediatrics
I have chronic sore throat and it's getting worse,ENT
I have difficulty breathing when lying down for several days,Cardiology
I notice dark spots on my face,Dermatology
I experience vision problems and headaches,Neurology
I have pressure in my eyes,Ophthalmology
I have neck pain and limited movement,Orthopedics
I have double vision problems,Ophthalmology
I have bipolar disorder symptoms for several days,Psychiatry
I feel tired all the time,General Medicine
I suffer from difficulty breathing when lying down,Cardiology
I notice acne breakouts on my face,Dermatology
I have painful blisters on my body,Dermatology
I experience frequent nosebleeds,ENT
I have swelling in my ankles and feet,Cardiology
I have severe stomach pain and it's getting worse,Gastroenterology
I have post-traumatic stress symptoms for several days,Psychiatry
I notice halos around lights,Ophthalmology
I have nerve pain in my legs,Neurology
My child has rash all over the body and it's getting worse,Pediatrics
